Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ACCSTO
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BRB,Latin America & Caribbean,High income,100
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BRN,East Asia & Pacific,High income,100
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BTN,South Asia,Lower middle income,31.1499996185303
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BWA,Sub-Saharan Africa,Upper middle income,26.4089794158936
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CAF,Sub-Saharan Africa,Low income,6
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CAN,North America,High income,100
Switzerland,CHE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CHE,Europe & Central Asia,High income,100
Channel Islands,CHI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CHI,Europe & Central Asia,High income,100
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CHL,Latin America & Caribbean,High income,97.9386901855469
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CHN,East Asia & Pacific,Upper middle income,97.0217971801758
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CIV,Sub-Saharan Africa,Lower middle income,48.6894683837891
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CMR,Sub-Saharan Africa,Lower middle income,41
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,COD,Sub-Saharan Africa,Low income,6.69999980926514
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,COG,Sub-Saharan Africa,Lower middle income,29.090015411377
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,COL,Latin America & Caribbean,Upper middle income,95.1999969482422
Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,COM,Sub-Saharan Africa,Lower middle income,39.7153549194336
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CPV,Sub-Saharan Africa,Lower middle income,58.4223289489746
Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CRI,Latin America & Caribbean,Upper middle income,96.9400024414063
Cuba,CUB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CUB,Latin America & Caribbean,Upper middle income,97
Curacao,CUW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CUW,Latin America & Caribbean,High income,100
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CYM,Latin America & Caribbean,High income,100
Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CYP,Europe & Central Asia,High income,100
Czech Republic,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,CZE,Europe & Central Asia,High income,100
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,DEU,Europe & Central Asia,High income,100
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,DJI,Middle East & North Africa,Lower middle income,56.3799514770508
Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,DMA,Latin America & Caribbean,Upper middle income,80.9518127441406
Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,DNK,Europe & Central Asia,High income,100
Dominican Republic,DOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,DOM,Latin America & Caribbean,Upper middle income,88.7649307250977
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,DZA,Middle East & North Africa,Lower middle income,98.9730987548828
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ECU,Latin America & Caribbean,Upper middle income,93.7322616577148
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,EGY,Middle East & North Africa,Lower middle income,97.6999969482422
Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ERI,Sub-Saharan Africa,Low income,29.2545108795166
Spain,ESP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ESP,Europe & Central Asia,High income,100
Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,EST,Europe & Central Asia,High income,100
Ethiopia,ETH,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ETH,Sub-Saharan Africa,Low income,12.6999998092651
Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,FIN,Europe & Central Asia,High income,100
Fiji,FJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,FJI,East Asia & Pacific,Upper middle income,75.7249221801758
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,FRA,Europe & Central Asia,High income,100
Faroe Islands,FRO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,FRO,Europe & Central Asia,High income,100
"Micronesia, Fed. Sts.",FSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,FSM,East Asia & Pacific,Lower middle income,46
Gabon,GAB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GAB,Sub-Saharan Africa,Upper middle income,73.5999984741211
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GBR,Europe & Central Asia,High income,100
Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GEO,Europe & Central Asia,Upper middle income,99.8118133544922
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GHA,Sub-Saharan Africa,Lower middle income,43.7000007629395
Gibraltar,GIB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GIB,Europe & Central Asia,High income,100
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GIN,Sub-Saharan Africa,Low income,15.1462574005127
"Gambia, The",GMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GMB,Sub-Saharan Africa,Low income,34.2999992370605
Guinea-Bissau,GNB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GNB,Sub-Saharan Africa,Low income,
Equatorial Guinea,GNQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GNQ,Sub-Saharan Africa,Upper middle income,65.5595626831055
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GRC,Europe & Central Asia,High income,100
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GRD,Latin America & Caribbean,Upper middle income,86.0422286987305
Greenland,GRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GRL,Europe & Central Asia,High income,100
Guatemala,GTM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GTM,Latin America & Caribbean,Upper middle income,73.3182067871094
Guam,GUM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GUM,East Asia & Pacific,High income,100
Guyana,GUY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,GUY,Latin America & Caribbean,Upper middle income,74.5172805786133
"Hong Kong SAR, China",HKG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,HKG,East Asia & Pacific,High income,100
Honduras,HND,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,HND,Latin America & Caribbean,Lower middle income,67.3833541870117
Croatia,HRV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,HRV,Europe & Central Asia,High income,100
Haiti,HTI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,HTI,Latin America & Caribbean,Lower middle income,33.7000007629395
Hungary,HUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,HUN,Europe & Central Asia,High income,100
Indonesia,IDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,IDN,East Asia & Pacific,Lower middle income,86.3000030517578
Isle of Man,IMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,IMN,Europe & Central Asia,High income,100
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,IND,South Asia,Lower middle income,58.7214736938477
Ireland,IRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,IRL,Europe & Central Asia,High income,100
"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,IRN,Middle East & North Africa,Lower middle income,97.9000015258789
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,IRQ,Middle East & North Africa,Upper middle income,96.9216766357422
Iceland,ISL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ISL,Europe & Central Asia,High income,100
Israel,ISR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ISR,Middle East & North Africa,High income,100
Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ITA,Europe & Central Asia,High income,100
Jamaica,JAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,JAM,Latin America & Caribbean,Upper middle income,84.3941345214844
Jordan,JOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,JOR,Middle East & North Africa,Upper middle income,98.9342727661133
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,JPN,East Asia & Pacific,High income,100
Kazakhstan,KAZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,KAZ,Europe & Central Asia,Upper middle income,99.5095596313477
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,KEN,Sub-Saharan Africa,Lower middle income,15.1311712265015
Kyrgyz Republic,KGZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,KGZ,Europe & Central Asia,Lower middle income,99.6102447509766
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,KHM,East Asia & Pacific,Lower middle income,16.6000003814697
Kiribati,KIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,KIR,East Asia & Pacific,Lower middle income,55.1248970031738
St. Kitts and Nevis,KNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,KNA,Latin America & Caribbean,High income,95.2815399169922
"Korea, Rep.",KOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,KOR,East Asia & Pacific,High income,100
Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,KWT,Middle East & North Africa,High income,100
Lao PDR,LAO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,LAO,East Asia & Pacific,Lower middle income,42.4961395263672
Lebanon,LBN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,LBN,Middle East & North Africa,Lower middle income,99.3515930175781
Liberia,LBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,LBR,Sub-Saharan Africa,Low income,
Libya,LBY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,LBY,Middle East & North Africa,Upper middle income,99.8000030517578
St. Lucia,LCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,LCA,Latin America & Caribbean,Upper middle income,89.3874359130859
Liechtenstein,LIE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,LIE,Europe & Central Asia,High income,100
Sri Lanka,LKA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,LKA,South Asia,Lower middle income,70.2628021240234
Lesotho,LSO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,LSO,Sub-Saharan Africa,Lower middle income,4.25875997543335
Lithuania,LTU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,LTU,Europe & Central Asia,High income,100
Luxembourg,LUX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,LUX,Europe & Central Asia,High income,100
Latvia,LVA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,LVA,Europe & Central Asia,High income,100
"Macao SAR, China",MAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MAC,East Asia & Pacific,High income,100
St. Martin (French part),MAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MAF,Latin America & Caribbean,High income,100
Morocco,MAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MAR,Middle East & North Africa,Lower middle income,69.5673828125
Monaco,MCO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MCO,Europe & Central Asia,High income,100
Moldova,MDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MDA,Europe & Central Asia,Upper middle income,100
Madagascar,MDG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MDG,Sub-Saharan Africa,Low income,12.7241897583008
Maldives,MDV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MDV,South Asia,Upper middle income,83.8000030517578
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MEX,Latin America & Caribbean,Upper middle income,98.0071334838867
Marshall Islands,MHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MHL,East Asia & Pacific,Upper middle income,68.4779739379883
North Macedonia,MKD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MKD,Europe & Central Asia,Upper middle income,100
Mali,MLI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MLI,Sub-Saharan Africa,Low income,9.59319972991943
Malta,MLT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MLT,Middle East & North Africa,High income,100
Myanmar,MMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MMR,East Asia & Pacific,Lower middle income,41.8337898254395
Montenegro,MNE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MNE,Europe & Central Asia,Upper middle income,100
Mongolia,MNG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MNG,East Asia & Pacific,Lower middle income,67.3000030517578
Northern Mariana Islands,MNP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MNP,East Asia & Pacific,High income,100
Mozambique,MOZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MOZ,Sub-Saharan Africa,Low income,6.09631109237671
Mauritania,MRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MRT,Sub-Saharan Africa,Lower middle income,18.7461318969727
Mauritius,MUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MUS,Sub-Saharan Africa,Upper middle income,99
Malawi,MWI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MWI,Sub-Saharan Africa,Low income,4.80000019073486
Malaysia,MYS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,MYS,East Asia & Pacific,Upper middle income,99.1039733886719
Namibia,NAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,NAM,Sub-Saharan Africa,Upper middle income,36.5
New Caledonia,NCL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,NCL,East Asia & Pacific,High income,100
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,NER,Sub-Saharan Africa,Low income,6.48148155212402
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,NGA,Sub-Saharan Africa,Lower middle income,43.1214599609375
Nicaragua,NIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,NIC,Latin America & Caribbean,Lower middle income,72.7815704345703
Netherlands,NLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,NLD,Europe & Central Asia,High income,100
Norway,NOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,NOR,Europe & Central Asia,High income,100
Nepal,NPL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,NPL,South Asia,Lower middle income,29.0462665557861
Nauru,NRU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,NRU,East Asia & Pacific,High income,99.4370880126953
New Zealand,NZL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,NZL,East Asia & Pacific,High income,100
Oman,OMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,OMN,Middle East & North Africa,High income,100
Pakistan,PAK,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PAK,South Asia,Lower middle income,70.3106002807617
Panama,PAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PAN,Latin America & Caribbean,High income,81.4014129638672
Peru,PER,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PER,Latin America & Caribbean,Upper middle income,72.4964981079102
Philippines,PHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PHL,East Asia & Pacific,Lower middle income,74.6616897583008
Palau,PLW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PLW,East Asia & Pacific,Upper middle income,98.1689987182617
Papua New Guinea,PNG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PNG,East Asia & Pacific,Lower middle income,7.57701396942139
Poland,POL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,POL,Europe & Central Asia,High income,100
Puerto Rico,PRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PRI,Latin America & Caribbean,High income,100
"Korea, Dem. People's Rep.",PRK,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PRK,East Asia & Pacific,Low income,
Portugal,PRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PRT,Europe & Central Asia,High income,100
Paraguay,PRY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PRY,Latin America & Caribbean,Upper middle income,89.421142578125
West Bank and Gaza,PSE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PSE,Middle East & North Africa,Lower middle income,99.6999969482422
French Polynesia,PYF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,PYF,East Asia & Pacific,High income,100
Qatar,QAT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,QAT,Middle East & North Africa,High income,100
Romania,ROU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ROU,Europe & Central Asia,High income,100
Russian Federation,RUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,RUS,Europe & Central Asia,Upper middle income,100
Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,RWA,Sub-Saharan Africa,Low income,6.19999980926514
Saudi Arabia,SAU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SAU,Middle East & North Africa,High income,100
Sudan,SDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SDN,Sub-Saharan Africa,Low income,23
Senegal,SEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SEN,Sub-Saharan Africa,Lower middle income,37.7400016784668
Singapore,SGP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SGP,East Asia & Pacific,High income,100
Solomon Islands,SLB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SLB,East Asia & Pacific,Lower middle income,4.51702928543091
Sierra Leone,SLE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SLE,Sub-Saharan Africa,Low income,7.78814268112183
El Salvador,SLV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SLV,Latin America & Caribbean,Lower middle income,84.5192489624023
San Marino,SMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SMR,Europe & Central Asia,High income,100
Somalia,SOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SOM,Sub-Saharan Africa,Low income,1.89250123500824
Serbia,SRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SRB,Europe & Central Asia,Upper middle income,100
South Sudan,SSD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SSD,Sub-Saharan Africa,Low income,
Sao Tome and Principe,STP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,STP,Sub-Saharan Africa,Lower middle income,52.9000015258789
Suriname,SUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SUR,Latin America & Caribbean,Upper middle income,95.4943771362305
Slovak Republic,SVK,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SVK,Europe & Central Asia,High income,100
Slovenia,SVN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SVN,Europe & Central Asia,High income,100
Sweden,SWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SWE,Europe & Central Asia,High income,100
Eswatini,SWZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SWZ,Sub-Saharan Africa,Lower middle income,20.1957626342773
Sint Maarten (Dutch part),SXM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SXM,Latin America & Caribbean,High income,100
Seychelles,SYC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SYC,Sub-Saharan Africa,High income,94.0893402099609
Syrian Arab Republic,SYR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,SYR,Middle East & North Africa,Low income,93.4835891723633
Turks and Caicos Islands,TCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TCA,Latin America & Caribbean,High income,95.5999984741211
Chad,TCD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TCD,Sub-Saharan Africa,Low income,3.17988133430481
Togo,TGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TGO,Sub-Saharan Africa,Low income,16.9562339782715
Thailand,THA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,THA,East Asia & Pacific,Upper middle income,82.0999984741211
Tajikistan,TJK,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TJK,Europe & Central Asia,Lower middle income,98.4677429199219
Turkmenistan,TKM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TKM,Europe & Central Asia,Upper middle income,99.5999984741211
Timor-Leste,TLS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TLS,East Asia & Pacific,Lower middle income,17.5928115844727
Tonga,TON,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TON,East Asia & Pacific,Upper middle income,85.5786285400391
Trinidad and Tobago,TTO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TTO,Latin America & Caribbean,High income,91.2900009155273
Tunisia,TUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TUN,Middle East & North Africa,Lower middle income,94.8000030517578
Turkiye,TUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TUR,Europe & Central Asia,Upper middle income,100
Tuvalu,TUV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TUV,East Asia & Pacific,Upper middle income,94.6306762695313
Tanzania,TZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,TZA,Sub-Saharan Africa,Lower middle income,8.91672611236572
Uganda,UGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,UGA,Sub-Saharan Africa,Low income,7.35113048553467
Ukraine,UKR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,UKR,Europe & Central Asia,Lower middle income,100
Uruguay,URY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,URY,Latin America & Caribbean,High income,97.6768646240234
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,USA,North America,High income,100
Uzbekistan,UZB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,UZB,Europe & Central Asia,Lower middle income,99.5932693481445
St. Vincent and the Grenadines,VCT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,VCT,Latin America & Caribbean,Upper middle income,79.8817749023438
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,VGB,Latin America & Caribbean,High income,97.4126968383789
