Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ACCSUR
Cambodia,KHM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,KHM,East Asia & Pacific,Lower middle income,60.5999984741211
Kiribati,KIR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,KIR,East Asia & Pacific,Lower middle income,93.689453125
St. Kitts and Nevis,KNA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,KNA,Latin America & Caribbean,High income,99.4866104125977
"Korea, Rep.",KOR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,KOR,East Asia & Pacific,High income,99.9943695068359
Kuwait,KWT,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,KWT,Middle East & North Africa,High income,100
Lao PDR,LAO,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,LAO,East Asia & Pacific,Lower middle income,96.0688018798828
Lebanon,LBN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,LBN,Middle East & North Africa,Lower middle income,98.9784851074219
Liberia,LBR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,LBR,Sub-Saharan Africa,Low income,
Libya,LBY,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,LBY,Middle East & North Africa,Upper middle income,100
St. Lucia,LCA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,LCA,Latin America & Caribbean,Upper middle income,95.5415344238281
Liechtenstein,LIE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,LIE,Europe & Central Asia,High income,100
Sri Lanka,LKA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,LKA,South Asia,Lower middle income,88.598274230957
Lesotho,LSO,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,LSO,Sub-Saharan Africa,Lower middle income,13.6008920669556
Lithuania,LTU,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,LTU,Europe & Central Asia,High income,100
Luxembourg,LUX,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,LUX,Europe & Central Asia,High income,100
Latvia,LVA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,LVA,Europe & Central Asia,High income,100
"Macao SAR, China",MAC,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MAC,East Asia & Pacific,High income,100
St. Martin (French part),MAF,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MAF,Latin America & Caribbean,High income,100
Morocco,MAR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MAR,Middle East & North Africa,Lower middle income,98.4800033569336
Monaco,MCO,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MCO,Europe & Central Asia,High income,100
Moldova,MDA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MDA,Europe & Central Asia,Upper middle income,100
Madagascar,MDG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MDG,Sub-Saharan Africa,Low income,48.0276069641113
Maldives,MDV,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MDV,South Asia,Upper middle income,99.258056640625
Mexico,MEX,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MEX,Latin America & Caribbean,Upper middle income,99.4307174682617
Marshall Islands,MHL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MHL,East Asia & Pacific,Upper middle income,89.2391204833984
North Macedonia,MKD,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MKD,Europe & Central Asia,Upper middle income,100
Mali,MLI,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MLI,Sub-Saharan Africa,Low income,33.6922454833984
Malta,MLT,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MLT,Middle East & North Africa,High income,100
Myanmar,MMR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MMR,East Asia & Pacific,Lower middle income,82.3495635986328
Montenegro,MNE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MNE,Europe & Central Asia,Upper middle income,100
Mongolia,MNG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MNG,East Asia & Pacific,Lower middle income,97.08740234375
Northern Mariana Islands,MNP,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MNP,East Asia & Pacific,High income,100
Mozambique,MOZ,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MOZ,Sub-Saharan Africa,Low income,23.223352432251
Mauritania,MRT,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MRT,Sub-Saharan Africa,Lower middle income,45.0090255737305
Mauritius,MUS,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MUS,Sub-Saharan Africa,Upper middle income,100
Malawi,MWI,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MWI,Sub-Saharan Africa,Low income,28.7000007629395
Malaysia,MYS,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,MYS,East Asia & Pacific,Upper middle income,99.4259872436523
Namibia,NAM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,NAM,Sub-Saharan Africa,Upper middle income,73.1999969482422
New Caledonia,NCL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,NCL,East Asia & Pacific,High income,100
Niger,NER,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,NER,Sub-Saharan Africa,Low income,40.6727828979492
Nigeria,NGA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,NGA,Sub-Saharan Africa,Lower middle income,83.9839096069336
Nicaragua,NIC,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,NIC,Latin America & Caribbean,Lower middle income,93.5489044189453
Netherlands,NLD,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,NLD,Europe & Central Asia,High income,100
Norway,NOR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,NOR,Europe & Central Asia,High income,100
Nepal,NPL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,NPL,South Asia,Lower middle income,85.0817337036133
Nauru,NRU,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,NRU,East Asia & Pacific,High income,96.9812850952148
New Zealand,NZL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,NZL,East Asia & Pacific,High income,100
Oman,OMN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,OMN,Middle East & North Africa,High income,99.9974212646484
Pakistan,PAK,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PAK,South Asia,Lower middle income,93.7273788452148
Panama,PAN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PAN,Latin America & Caribbean,High income,97.1900024414063
Peru,PER,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PER,Latin America & Caribbean,Upper middle income,95.1603393554688
Philippines,PHL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PHL,East Asia & Pacific,Lower middle income,89.800895690918
Palau,PLW,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PLW,East Asia & Pacific,Upper middle income,99.0901184082031
Papua New Guinea,PNG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PNG,East Asia & Pacific,Lower middle income,62.5233612060547
Poland,POL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,POL,Europe & Central Asia,High income,100
Puerto Rico,PRI,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PRI,Latin America & Caribbean,High income,100
"Korea, Dem. People's Rep.",PRK,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PRK,East Asia & Pacific,Low income,
Portugal,PRT,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PRT,Europe & Central Asia,High income,100
Paraguay,PRY,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PRY,Latin America & Caribbean,Upper middle income,97.6798400878906
West Bank and Gaza,PSE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PSE,Middle East & North Africa,Lower middle income,99.9000015258789
French Polynesia,PYF,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,PYF,East Asia & Pacific,High income,100
Qatar,QAT,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,QAT,Middle East & North Africa,High income,100
Romania,ROU,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ROU,Europe & Central Asia,High income,100
Russian Federation,RUS,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,RUS,Europe & Central Asia,Upper middle income,100
Rwanda,RWA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,RWA,Sub-Saharan Africa,Low income,38.9000015258789
Saudi Arabia,SAU,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SAU,Middle East & North Africa,High income,100
Sudan,SDN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SDN,Sub-Saharan Africa,Low income,61.4395637512207
Senegal,SEN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SEN,Sub-Saharan Africa,Lower middle income,74.6399993896484
Singapore,SGP,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SGP,East Asia & Pacific,High income,100
Solomon Islands,SLB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SLB,East Asia & Pacific,Lower middle income,59.054801940918
Sierra Leone,SLE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SLE,Sub-Saharan Africa,Low income,23.4335746765137
El Salvador,SLV,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SLV,Latin America & Caribbean,Lower middle income,96.097900390625
San Marino,SMR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SMR,Europe & Central Asia,High income,100
Somalia,SOM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SOM,Sub-Saharan Africa,Low income,20.3112030029297
Serbia,SRB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SRB,Europe & Central Asia,Upper middle income,100
South Sudan,SSD,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SSD,Sub-Saharan Africa,Low income,8.20218276977539
Sao Tome and Principe,STP,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,STP,Sub-Saharan Africa,Lower middle income,64.0931777954102
Suriname,SUR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SUR,Latin America & Caribbean,Upper middle income,97.8428268432617
Slovak Republic,SVK,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,SVK,Europe & Central Asia,High income,100
