Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ELECLOSS
Barbados,BRB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BRB,Latin America & Caribbean,High income,
Brunei Darussalam,BRN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BRN,East Asia & Pacific,High income,1.14038537160834
Bhutan,BTN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BTN,South Asia,Lower middle income,
Botswana,BWA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BWA,Sub-Saharan Africa,Upper middle income,18.3333333333333
Central African Republic,CAF,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CAF,Sub-Saharan Africa,Low income,
Canada,CAN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CAN,North America,High income,7.80569884873744
Switzerland,CHE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CHE,Europe & Central Asia,High income,6.17778718770794
Channel Islands,CHI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CHI,Europe & Central Asia,High income,
Chile,CHL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CHL,Latin America & Caribbean,High income,7.29327810769
China,CHN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CHN,East Asia & Pacific,Upper middle income,6.90922582386862
Cote d'Ivoire,CIV,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CIV,Sub-Saharan Africa,Lower middle income,14.5625
Cameroon,CMR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CMR,Sub-Saharan Africa,Lower middle income,21.867816091954
"Congo, Dem. Rep.",COD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,COD,Sub-Saharan Africa,Low income,2.67469073888332
"Congo, Rep.",COG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,COG,Sub-Saharan Africa,Lower middle income,87.5
Colombia,COL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,COL,Latin America & Caribbean,Upper middle income,22.3860869565217
Comoros,COM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,COM,Sub-Saharan Africa,Lower middle income,
Cabo Verde,CPV,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CPV,Sub-Saharan Africa,Lower middle income,
Costa Rica,CRI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CRI,Latin America & Caribbean,Upper middle income,6.8362480127186
Cuba,CUB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CUB,Latin America & Caribbean,Upper middle income,15.7730175625333
Curacao,CUW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CUW,Latin America & Caribbean,High income,
Cayman Islands,CYM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CYM,Latin America & Caribbean,High income,
Cyprus,CYP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CYP,Europe & Central Asia,High income,5.5786350148368
Czech Republic,CZE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,CZE,Europe & Central Asia,High income,6.79732824950968
Germany,DEU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,DEU,Europe & Central Asia,High income,5.95688023861069
Djibouti,DJI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,DJI,Middle East & North Africa,Lower middle income,
Dominica,DMA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,DMA,Latin America & Caribbean,Upper middle income,
Denmark,DNK,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,DNK,Europe & Central Asia,High income,5.83585277230744
Dominican Republic,DOM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,DOM,Latin America & Caribbean,Upper middle income,12.2758831158923
Algeria,DZA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,DZA,Middle East & North Africa,Lower middle income,16.1537856130962
Ecuador,ECU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ECU,Latin America & Caribbean,Upper middle income,24.1330569166981
"Egypt, Arab Rep.",EGY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,EGY,Middle East & North Africa,Lower middle income,13.7568304262698
Eritrea,ERI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ERI,Sub-Saharan Africa,Low income,18.0952380952381
Spain,ESP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ESP,Europe & Central Asia,High income,8.72076443615591
Estonia,EST,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,EST,Europe & Central Asia,High income,14.5777046869494
Ethiopia,ETH,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ETH,Sub-Saharan Africa,Low income,9.97610513739546
Finland,FIN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,FIN,Europe & Central Asia,High income,3.76128958500057
Fiji,FJI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,FJI,East Asia & Pacific,Upper middle income,
France,FRA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,FRA,Europe & Central Asia,High income,5.68234476367006
Faroe Islands,FRO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,FRO,Europe & Central Asia,High income,
"Micronesia, Fed. Sts.",FSM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,FSM,East Asia & Pacific,Lower middle income,
Gabon,GAB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GAB,Sub-Saharan Africa,Upper middle income,17.7946768060837
United Kingdom,GBR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GBR,Europe & Central Asia,High income,8.31866444073456
Georgia,GEO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GEO,Europe & Central Asia,Upper middle income,16.8238146551724
Ghana,GHA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GHA,Sub-Saharan Africa,Lower middle income,19.4794406756195
Gibraltar,GIB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GIB,Europe & Central Asia,High income,3.2
Guinea,GIN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GIN,Sub-Saharan Africa,Low income,
"Gambia, The",GMB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GMB,Sub-Saharan Africa,Low income,
Guinea-Bissau,GNB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GNB,Sub-Saharan Africa,Low income,
Equatorial Guinea,GNQ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GNQ,Sub-Saharan Africa,Upper middle income,
Greece,GRC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GRC,Europe & Central Asia,High income,7.99812821712681
Grenada,GRD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GRD,Latin America & Caribbean,Upper middle income,
Greenland,GRL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GRL,Europe & Central Asia,High income,
Guatemala,GTM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GTM,Latin America & Caribbean,Upper middle income,24.702380952381
Guam,GUM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GUM,East Asia & Pacific,High income,
Guyana,GUY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,GUY,Latin America & Caribbean,Upper middle income,
"Hong Kong SAR, China",HKG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,HKG,East Asia & Pacific,High income,12.9328779802751
Honduras,HND,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,HND,Latin America & Caribbean,Lower middle income,19.6330777656079
Croatia,HRV,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,HRV,Europe & Central Asia,High income,18.3077332859806
Haiti,HTI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,HTI,Latin America & Caribbean,Lower middle income,44.6069469835466
Hungary,HUN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,HUN,Europe & Central Asia,High income,13.7535165241113
Indonesia,IDN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,IDN,East Asia & Pacific,Lower middle income,11.5135279935709
Isle of Man,IMN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,IMN,Europe & Central Asia,High income,
India,IND,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,IND,South Asia,Lower middle income,27.2206892193622
Ireland,IRL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,IRL,Europe & Central Asia,High income,8.53292780805137
"Iran, Islamic Rep.",IRN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,IRN,Middle East & North Africa,Lower middle income,15.8236452471389
Iraq,IRQ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,IRQ,Middle East & North Africa,Upper middle income,8.58934169278997
Iceland,ISL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ISL,Europe & Central Asia,High income,4.11244143675169
Israel,ISR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ISR,Middle East & North Africa,High income,3.37076017908629
Italy,ITA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ITA,Europe & Central Asia,High income,7.11377671417087
Jamaica,JAM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,JAM,Latin America & Caribbean,Upper middle income,8.52255525280049
Jordan,JOR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,JOR,Middle East & North Africa,Upper middle income,10.9694915254237
Japan,JPN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,JPN,East Asia & Pacific,High income,4.31480058671509
Kazakhstan,KAZ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,KAZ,Europe & Central Asia,Upper middle income,13.9642272620996
Kenya,KEN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,KEN,Sub-Saharan Africa,Lower middle income,21.6425361957064
Kyrgyz Republic,KGZ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,KGZ,Europe & Central Asia,Lower middle income,25.3901279217735
Cambodia,KHM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,KHM,East Asia & Pacific,Lower middle income,11.1607142857143
Kiribati,KIR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,KIR,East Asia & Pacific,Lower middle income,
St. Kitts and Nevis,KNA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,KNA,Latin America & Caribbean,High income,
"Korea, Rep.",KOR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,KOR,East Asia & Pacific,High income,4.31538232256365
Kuwait,KWT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,KWT,Middle East & North Africa,High income,11.0014540729511
Lao PDR,LAO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,LAO,East Asia & Pacific,Lower middle income,
Lebanon,LBN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,LBN,Middle East & North Africa,Lower middle income,14.3152454780362
Liberia,LBR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,LBR,Sub-Saharan Africa,Low income,
Libya,LBY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,LBY,Middle East & North Africa,Upper middle income,23.1801755291688
St. Lucia,LCA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,LCA,Latin America & Caribbean,Upper middle income,
Liechtenstein,LIE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,LIE,Europe & Central Asia,High income,
Sri Lanka,LKA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,LKA,South Asia,Lower middle income,20.9594517418618
Lesotho,LSO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,LSO,Sub-Saharan Africa,Lower middle income,
Lithuania,LTU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,LTU,Europe & Central Asia,High income,11.5187483140005
Luxembourg,LUX,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,LUX,Europe & Central Asia,High income,9.71563981042654
Latvia,LVA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,LVA,Europe & Central Asia,High income,23.9845261121857
"Macao SAR, China",MAC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MAC,East Asia & Pacific,High income,
St. Martin (French part),MAF,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MAF,Latin America & Caribbean,High income,
Morocco,MAR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MAR,Middle East & North Africa,Lower middle income,8.4039493119801
Monaco,MCO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MCO,Europe & Central Asia,High income,
Moldova,MDA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MDA,Europe & Central Asia,Upper middle income,25.4905458437389
Madagascar,MDG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MDG,Sub-Saharan Africa,Low income,
Maldives,MDV,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MDV,South Asia,Upper middle income,
Mexico,MEX,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MEX,Latin America & Caribbean,Upper middle income,13.8485474656618
Marshall Islands,MHL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MHL,East Asia & Pacific,Upper middle income,
North Macedonia,MKD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MKD,Europe & Central Asia,Upper middle income,15.1372779327558
Mali,MLI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MLI,Sub-Saharan Africa,Low income,
Malta,MLT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MLT,Middle East & North Africa,High income,12.2587376108503
Myanmar,MMR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MMR,East Asia & Pacific,Lower middle income,31.3012895662368
Montenegro,MNE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MNE,Europe & Central Asia,Upper middle income,
Mongolia,MNG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MNG,East Asia & Pacific,Lower middle income,19.5519348268839
Northern Mariana Islands,MNP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MNP,East Asia & Pacific,High income,
Mozambique,MOZ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MOZ,Sub-Saharan Africa,Low income,10.0969471947195
Mauritania,MRT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MRT,Sub-Saharan Africa,Lower middle income,
Mauritius,MUS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MUS,Sub-Saharan Africa,Upper middle income,8.99887514060742
Malawi,MWI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MWI,Sub-Saharan Africa,Low income,
Malaysia,MYS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,MYS,East Asia & Pacific,Upper middle income,7.99942242437369
Namibia,NAM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,NAM,Sub-Saharan Africa,Upper middle income,14.498933901919
New Caledonia,NCL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,NCL,East Asia & Pacific,High income,
Niger,NER,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,NER,Sub-Saharan Africa,Low income,18.9320388349515
Nigeria,NGA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,NGA,Sub-Saharan Africa,Lower middle income,38.1476200176546
Nicaragua,NIC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,NIC,Latin America & Caribbean,Lower middle income,30.4551254785198
Netherlands,NLD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,NLD,Europe & Central Asia,High income,5.48582521672189
Norway,NOR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,NOR,Europe & Central Asia,High income,8.19656026552336
Nepal,NPL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,NPL,South Asia,Lower middle income,21.2176009644364
Nauru,NRU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,NRU,East Asia & Pacific,High income,
New Zealand,NZL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,NZL,East Asia & Pacific,High income,7.75855479399699
Oman,OMN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,OMN,Middle East & North Africa,High income,20.2941499286577
Pakistan,PAK,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PAK,South Asia,Lower middle income,24.267426155382
Panama,PAN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PAN,Latin America & Caribbean,High income,23.8592183343565
Peru,PER,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PER,Latin America & Caribbean,Upper middle income,11.4843828462388
Philippines,PHL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PHL,East Asia & Pacific,Lower middle income,14.0097151689115
Palau,PLW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PLW,East Asia & Pacific,Upper middle income,
Papua New Guinea,PNG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PNG,East Asia & Pacific,Lower middle income,
Poland,POL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,POL,Europe & Central Asia,High income,9.94174920027379
Puerto Rico,PRI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PRI,Latin America & Caribbean,High income,
"Korea, Dem. People's Rep.",PRK,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PRK,East Asia & Pacific,Low income,15.8041237113402
Portugal,PRT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PRT,Europe & Central Asia,High income,8.4132620123582
Paraguay,PRY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PRY,Latin America & Caribbean,Upper middle income,2.66955806475735
West Bank and Gaza,PSE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PSE,Middle East & North Africa,Lower middle income,
French Polynesia,PYF,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,PYF,East Asia & Pacific,High income,
Qatar,QAT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,QAT,Middle East & North Africa,High income,6.93015108386249
Romania,ROU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ROU,Europe & Central Asia,High income,12.7642777371279
Russian Federation,RUS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,RUS,Europe & Central Asia,Upper middle income,11.5966584062396
Rwanda,RWA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,RWA,Sub-Saharan Africa,Low income,
Saudi Arabia,SAU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SAU,Middle East & North Africa,High income,7.23585675682101
Sudan,SDN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SDN,Sub-Saharan Africa,Low income,15.5313351498638
Senegal,SEN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SEN,Sub-Saharan Africa,Lower middle income,37.3441396508728
Singapore,SGP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SGP,East Asia & Pacific,High income,3.63808621506395
Solomon Islands,SLB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SLB,East Asia & Pacific,Lower middle income,
Sierra Leone,SLE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SLE,Sub-Saharan Africa,Low income,
El Salvador,SLV,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SLV,Latin America & Caribbean,Lower middle income,13.3846609416642
San Marino,SMR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SMR,Europe & Central Asia,High income,
Somalia,SOM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SOM,Sub-Saharan Africa,Low income,
Serbia,SRB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SRB,Europe & Central Asia,Upper middle income,16.3766842413591
South Sudan,SSD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SSD,Sub-Saharan Africa,Low income,
Sao Tome and Principe,STP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,STP,Sub-Saharan Africa,Lower middle income,
Suriname,SUR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SUR,Latin America & Caribbean,Upper middle income,8.95904436860068
Slovak Republic,SVK,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SVK,Europe & Central Asia,High income,5.70166893954153
Slovenia,SVN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SVN,Europe & Central Asia,High income,5.95273047563124
Sweden,SWE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SWE,Europe & Central Asia,High income,7.44675723502558
Eswatini,SWZ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SWZ,Sub-Saharan Africa,Lower middle income,
Sint Maarten (Dutch part),SXM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SXM,Latin America & Caribbean,High income,
Seychelles,SYC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SYC,Sub-Saharan Africa,High income,
Syrian Arab Republic,SYR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,SYR,Middle East & North Africa,Low income,30.6975453067375
