Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ACCSRU
"Bahamas, The",BHS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,BHS,Latin America & Caribbean,High income,100
Bosnia and Herzegovina,BIH,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,BIH,Europe & Central Asia,Upper middle income,100
Belarus,BLR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,BLR,Europe & Central Asia,Upper middle income,100
Belize,BLZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,BLZ,Latin America & Caribbean,Upper middle income,65.6969985961914
Bermuda,BMU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,BMU,North America,High income,100
Bolivia,BOL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,BOL,Latin America & Caribbean,Lower middle income,28.1674308776855
Brazil,BRA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,BRA,Latin America & Caribbean,Upper middle income,74.3994064331055
Barbados,BRB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,BRB,Latin America & Caribbean,High income,100
Brunei Darussalam,BRN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,BRN,East Asia & Pacific,High income,100
Bhutan,BTN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,BTN,South Asia,Lower middle income,8.79651641845703
Botswana,BWA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,BWA,Sub-Saharan Africa,Upper middle income,11.9733152389526
Central African Republic,CAF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CAF,Sub-Saharan Africa,Low income,
Canada,CAN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CAN,North America,High income,100
Switzerland,CHE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CHE,Europe & Central Asia,High income,100
Channel Islands,CHI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CHI,Europe & Central Asia,High income,100
Chile,CHL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CHL,Latin America & Caribbean,High income,86.545768737793
China,CHN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CHN,East Asia & Pacific,Upper middle income,95.3554840087891
Cote d'Ivoire,CIV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CIV,Sub-Saharan Africa,Lower middle income,23.7461547851563
Cameroon,CMR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CMR,Sub-Saharan Africa,Lower middle income,9.22145843505859
"Congo, Dem. Rep.",COD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,COD,Sub-Saharan Africa,Low income,
"Congo, Rep.",COG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,COG,Sub-Saharan Africa,Lower middle income,5.07388877868652
Colombia,COL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,COL,Latin America & Caribbean,Upper middle income,83.2728271484375
Comoros,COM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,COM,Sub-Saharan Africa,Lower middle income,30.1085224151611
Cabo Verde,CPV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CPV,Sub-Saharan Africa,Lower middle income,31.5254287719727
Costa Rica,CRI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CRI,Latin America & Caribbean,Upper middle income,92.8155288696289
Cuba,CUB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CUB,Latin America & Caribbean,Upper middle income,87.8429260253906
Curacao,CUW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CUW,Latin America & Caribbean,High income,100
Cayman Islands,CYM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CYM,Latin America & Caribbean,High income,100
Cyprus,CYP,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CYP,Europe & Central Asia,High income,100
Czech Republic,CZE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,CZE,Europe & Central Asia,High income,100
Germany,DEU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,DEU,Europe & Central Asia,High income,100
Djibouti,DJI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,DJI,Middle East & North Africa,Lower middle income,56.0773811340332
Dominica,DMA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,DMA,Latin America & Caribbean,Upper middle income,
Denmark,DNK,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,DNK,Europe & Central Asia,High income,100
Dominican Republic,DOM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,DOM,Latin America & Caribbean,Upper middle income,76.1583786010742
Algeria,DZA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,DZA,Middle East & North Africa,Lower middle income,98.2681579589844
Ecuador,ECU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,ECU,Latin America & Caribbean,Upper middle income,85.453125
"Egypt, Arab Rep.",EGY,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,EGY,Middle East & North Africa,Lower middle income,96.3533096313477
Eritrea,ERI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,ERI,Sub-Saharan Africa,Low income,11.1567726135254
Spain,ESP,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,ESP,Europe & Central Asia,High income,100
Estonia,EST,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,EST,Europe & Central Asia,High income,100
Ethiopia,ETH,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,ETH,Sub-Saharan Africa,Low income,1.72193264961243
Finland,FIN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,FIN,Europe & Central Asia,High income,100
Fiji,FJI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,FJI,East Asia & Pacific,Upper middle income,61.2705421447754
France,FRA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,FRA,Europe & Central Asia,High income,100
Faroe Islands,FRO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,FRO,Europe & Central Asia,High income,100
"Micronesia, Fed. Sts.",FSM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,FSM,East Asia & Pacific,Lower middle income,39.0998687744141
Gabon,GAB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GAB,Sub-Saharan Africa,Upper middle income,11.6053256988525
United Kingdom,GBR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GBR,Europe & Central Asia,High income,100
Georgia,GEO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GEO,Europe & Central Asia,Upper middle income,99.6940536499023
Ghana,GHA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GHA,Sub-Saharan Africa,Lower middle income,14.8689250946045
Gibraltar,GIB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GIB,Europe & Central Asia,High income,100
Guinea,GIN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GIN,Sub-Saharan Africa,Low income,
"Gambia, The",GMB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GMB,Sub-Saharan Africa,Low income,18.8190422058105
Guinea-Bissau,GNB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GNB,Sub-Saharan Africa,Low income,
Equatorial Guinea,GNQ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GNQ,Sub-Saharan Africa,Upper middle income,37.5611763000488
Greece,GRC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GRC,Europe & Central Asia,High income,100
Grenada,GRD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GRD,Latin America & Caribbean,Upper middle income,
Greenland,GRL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GRL,Europe & Central Asia,High income,100
Guatemala,GTM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GTM,Latin America & Caribbean,Upper middle income,55.0092544555664
Guam,GUM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GUM,East Asia & Pacific,High income,100
Guyana,GUY,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,GUY,Latin America & Caribbean,Upper middle income,69.4178009033203
"Hong Kong SAR, China",HKG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,HKG,East Asia & Pacific,High income,100
Honduras,HND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,HND,Latin America & Caribbean,Lower middle income,44.8305397033691
Croatia,HRV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,HRV,Europe & Central Asia,High income,100
Haiti,HTI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,HTI,Latin America & Caribbean,Lower middle income,7.05527257919312
Hungary,HUN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,HUN,Europe & Central Asia,High income,100
Indonesia,IDN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,IDN,East Asia & Pacific,Lower middle income,79.6350631713867
Isle of Man,IMN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,IMN,Europe & Central Asia,High income,100
India,IND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,IND,South Asia,Lower middle income,47.2353248596191
Ireland,IRL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,IRL,Europe & Central Asia,High income,100
"Iran, Islamic Rep.",IRN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,IRN,Middle East & North Africa,Lower middle income,94.1598510742188
Iraq,IRQ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,IRQ,Middle East & North Africa,Upper middle income,91.5873947143555
Iceland,ISL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,ISL,Europe & Central Asia,High income,100
Israel,ISR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,ISR,Middle East & North Africa,High income,100
Italy,ITA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,ITA,Europe & Central Asia,High income,100
Jamaica,JAM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,JAM,Latin America & Caribbean,Upper middle income,77.3064651489258
Jordan,JOR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,JOR,Middle East & North Africa,Upper middle income,96.3346633911133
Japan,JPN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,JPN,East Asia & Pacific,High income,100
Kazakhstan,KAZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,KAZ,Europe & Central Asia,Upper middle income,98.9976501464844
Kenya,KEN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,KEN,Sub-Saharan Africa,Lower middle income,6.51140403747559
Kyrgyz Republic,KGZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,KGZ,Europe & Central Asia,Lower middle income,99.5857238769531
Cambodia,KHM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,KHM,East Asia & Pacific,Lower middle income,6.55524158477783
Kiribati,KIR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,KIR,East Asia & Pacific,Lower middle income,26.0817317962646
St. Kitts and Nevis,KNA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,KNA,Latin America & Caribbean,High income,93.2310104370117
"Korea, Rep.",KOR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,KOR,East Asia & Pacific,High income,100
Kuwait,KWT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,KWT,Middle East & North Africa,High income,100
Lao PDR,LAO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,LAO,East Asia & Pacific,Lower middle income,27.4061450958252
Lebanon,LBN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,LBN,Middle East & North Africa,Lower middle income,100
Liberia,LBR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,LBR,Sub-Saharan Africa,Low income,
Libya,LBY,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,LBY,Middle East & North Africa,Upper middle income,99.1530075073242
St. Lucia,LCA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,LCA,Latin America & Caribbean,Upper middle income,87.0209274291992
Liechtenstein,LIE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,LIE,Europe & Central Asia,High income,100
Sri Lanka,LKA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,LKA,South Asia,Lower middle income,66.1338424682617
Lesotho,LSO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,LSO,Sub-Saharan Africa,Lower middle income,1.98883330821991
Lithuania,LTU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,LTU,Europe & Central Asia,High income,100
Luxembourg,LUX,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,LUX,Europe & Central Asia,High income,100
Latvia,LVA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,LVA,Europe & Central Asia,High income,100
"Macao SAR, China",MAC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MAC,East Asia & Pacific,High income,100
St. Martin (French part),MAF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MAF,Latin America & Caribbean,High income,
Morocco,MAR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MAR,Middle East & North Africa,Lower middle income,36.5221786499023
Monaco,MCO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MCO,Europe & Central Asia,High income,100
Moldova,MDA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MDA,Europe & Central Asia,Upper middle income,100
Madagascar,MDG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MDG,Sub-Saharan Africa,Low income,
Maldives,MDV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MDV,South Asia,Upper middle income,77.8758926391602
Mexico,MEX,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MEX,Latin America & Caribbean,Upper middle income,93.7989959716797
Marshall Islands,MHL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MHL,East Asia & Pacific,Upper middle income,23.1632919311523
North Macedonia,MKD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MKD,Europe & Central Asia,Upper middle income,100
Mali,MLI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MLI,Sub-Saharan Africa,Low income,
Malta,MLT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MLT,Middle East & North Africa,High income,100
Myanmar,MMR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MMR,East Asia & Pacific,Lower middle income,26.8294906616211
Montenegro,MNE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MNE,Europe & Central Asia,Upper middle income,100
Mongolia,MNG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MNG,East Asia & Pacific,Lower middle income,27.5994625091553
Northern Mariana Islands,MNP,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MNP,East Asia & Pacific,High income,100
Mozambique,MOZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MOZ,Sub-Saharan Africa,Low income,
Mauritania,MRT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MRT,Sub-Saharan Africa,Lower middle income,2.58725428581238
Mauritius,MUS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MUS,Sub-Saharan Africa,Upper middle income,98.2557144165039
Malawi,MWI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MWI,Sub-Saharan Africa,Low income,0.710772693157196
Malaysia,MYS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,MYS,East Asia & Pacific,Upper middle income,98.5790939331055
Namibia,NAM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,NAM,Sub-Saharan Africa,Upper middle income,18.9317493438721
New Caledonia,NCL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,NCL,East Asia & Pacific,High income,100
Niger,NER,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,NER,Sub-Saharan Africa,Low income,
Nigeria,NGA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,NGA,Sub-Saharan Africa,Lower middle income,21.2729682922363
Nicaragua,NIC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,NIC,Latin America & Caribbean,Lower middle income,47.2087593078613
Netherlands,NLD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,NLD,Europe & Central Asia,High income,100
Norway,NOR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,NOR,Europe & Central Asia,High income,100
Nepal,NPL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,NPL,South Asia,Lower middle income,20.377893447876
Nauru,NRU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,NRU,East Asia & Pacific,High income,
New Zealand,NZL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,NZL,East Asia & Pacific,High income,100
Oman,OMN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,OMN,Middle East & North Africa,High income,100
Pakistan,PAK,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PAK,South Asia,Lower middle income,58.7863502502441
Panama,PAN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PAN,Latin America & Caribbean,High income,55.4234352111816
Peru,PER,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PER,Latin America & Caribbean,Upper middle income,11.089394569397
Philippines,PHL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PHL,East Asia & Pacific,Lower middle income,61.6950645446777
Palau,PLW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PLW,East Asia & Pacific,Upper middle income,95.9849319458008
Papua New Guinea,PNG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PNG,East Asia & Pacific,Lower middle income,
Poland,POL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,POL,Europe & Central Asia,High income,100
Puerto Rico,PRI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PRI,Latin America & Caribbean,High income,100
"Korea, Dem. People's Rep.",PRK,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PRK,East Asia & Pacific,Low income,
Portugal,PRT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PRT,Europe & Central Asia,High income,100
Paraguay,PRY,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PRY,Latin America & Caribbean,Upper middle income,79.1911849975586
West Bank and Gaza,PSE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PSE,Middle East & North Africa,Lower middle income,99.1865081787109
French Polynesia,PYF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,PYF,East Asia & Pacific,High income,100
Qatar,QAT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,QAT,Middle East & North Africa,High income,100
Romania,ROU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,ROU,Europe & Central Asia,High income,100
Russian Federation,RUS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,RUS,Europe & Central Asia,Upper middle income,100
Rwanda,RWA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,RWA,Sub-Saharan Africa,Low income,
Saudi Arabia,SAU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SAU,Middle East & North Africa,High income,100
Sudan,SDN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SDN,Sub-Saharan Africa,Low income,4.49628114700317
Senegal,SEN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SEN,Sub-Saharan Africa,Lower middle income,12.8102426528931
Singapore,SGP,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SGP,East Asia & Pacific,High income,100
Solomon Islands,SLB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SLB,East Asia & Pacific,Lower middle income,
Sierra Leone,SLE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SLE,Sub-Saharan Africa,Low income,
El Salvador,SLV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SLV,Latin America & Caribbean,Lower middle income,67.9177703857422
San Marino,SMR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SMR,Europe & Central Asia,High income,100
Somalia,SOM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SOM,Sub-Saharan Africa,Low income,
Serbia,SRB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SRB,Europe & Central Asia,Upper middle income,100
South Sudan,SSD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SSD,Sub-Saharan Africa,Low income,
Sao Tome and Principe,STP,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,STP,Sub-Saharan Africa,Lower middle income,40.0611457824707
Suriname,SUR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SUR,Latin America & Caribbean,Upper middle income,90.8442306518555
Slovak Republic,SVK,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SVK,Europe & Central Asia,High income,100
Slovenia,SVN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2000.0,SVN,Europe & Central Asia,High income,100
