Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ELECNUC
"Bahamas, The",BHS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BHS,Latin America & Caribbean,High income,
Bosnia and Herzegovina,BIH,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BIH,Europe & Central Asia,Upper middle income,0
Belarus,BLR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BLR,Europe & Central Asia,Upper middle income,0
Belize,BLZ,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BLZ,Latin America & Caribbean,Upper middle income,
Bermuda,BMU,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BMU,North America,High income,
Bolivia,BOL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BOL,Latin America & Caribbean,Lower middle income,0
Brazil,BRA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BRA,Latin America & Caribbean,Upper middle income,1.73282508383251
Barbados,BRB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BRB,Latin America & Caribbean,High income,
Brunei Darussalam,BRN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BRN,East Asia & Pacific,High income,0
Bhutan,BTN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BTN,South Asia,Lower middle income,
Botswana,BWA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BWA,Sub-Saharan Africa,Upper middle income,0
Central African Republic,CAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CAF,Sub-Saharan Africa,Low income,
Canada,CAN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CAN,North America,High income,12.0210503371885
Switzerland,CHE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CHE,Europe & Central Asia,High income,39.9945556832618
Channel Islands,CHI,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CHI,Europe & Central Asia,High income,
Chile,CHL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CHL,Latin America & Caribbean,High income,0
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CHN,East Asia & Pacific,Upper middle income,1.23453056564026
Cote d'Ivoire,CIV,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CIV,Sub-Saharan Africa,Lower middle income,0
Cameroon,CMR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CMR,Sub-Saharan Africa,Lower middle income,0
"Congo, Dem. Rep.",COD,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,COD,Sub-Saharan Africa,Low income,0
"Congo, Rep.",COG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,COG,Sub-Saharan Africa,Lower middle income,0
Colombia,COL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,COL,Latin America & Caribbean,Upper middle income,0
Comoros,COM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,COM,Sub-Saharan Africa,Lower middle income,
Cabo Verde,CPV,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CPV,Sub-Saharan Africa,Lower middle income,
Costa Rica,CRI,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CRI,Latin America & Caribbean,Upper middle income,0
Cuba,CUB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CUB,Latin America & Caribbean,Upper middle income,0
Curacao,CUW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CUW,Latin America & Caribbean,High income,
Cayman Islands,CYM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CYM,Latin America & Caribbean,High income,
Cyprus,CYP,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CYP,Europe & Central Asia,High income,0
Czech Republic,CZE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,CZE,Europe & Central Asia,High income,18.6391628149388
Germany,DEU,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,DEU,Europe & Central Asia,High income,29.6351821468322
Djibouti,DJI,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,DJI,Middle East & North Africa,Lower middle income,
Dominica,DMA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,DMA,Latin America & Caribbean,Upper middle income,
Denmark,DNK,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,DNK,Europe & Central Asia,High income,0
Dominican Republic,DOM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,DOM,Latin America & Caribbean,Upper middle income,0
Algeria,DZA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,DZA,Middle East & North Africa,Lower middle income,0
Ecuador,ECU,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ECU,Latin America & Caribbean,Upper middle income,0
"Egypt, Arab Rep.",EGY,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,EGY,Middle East & North Africa,Lower middle income,0
Eritrea,ERI,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ERI,Sub-Saharan Africa,Low income,0
Spain,ESP,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ESP,Europe & Central Asia,High income,28.1575766903101
Estonia,EST,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,EST,Europe & Central Asia,High income,0
Ethiopia,ETH,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ETH,Sub-Saharan Africa,Low income,0
Finland,FIN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,FIN,Europe & Central Asia,High income,32.1238710414999
Fiji,FJI,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,FJI,East Asia & Pacific,Upper middle income,
France,FRA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,FRA,Europe & Central Asia,High income,77.5736942808455
Faroe Islands,FRO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,FRO,Europe & Central Asia,High income,
"Micronesia, Fed. Sts.",FSM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,FSM,East Asia & Pacific,Lower middle income,
Gabon,GAB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GAB,Sub-Saharan Africa,Upper middle income,0
United Kingdom,GBR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GBR,Europe & Central Asia,High income,22.7213355592654
Georgia,GEO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GEO,Europe & Central Asia,Upper middle income,0
Ghana,GHA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GHA,Sub-Saharan Africa,Lower middle income,0
Gibraltar,GIB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GIB,Europe & Central Asia,High income,0
Guinea,GIN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GIN,Sub-Saharan Africa,Low income,
"Gambia, The",GMB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GMB,Sub-Saharan Africa,Low income,
Guinea-Bissau,GNB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GNB,Sub-Saharan Africa,Low income,
Equatorial Guinea,GNQ,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GNQ,Sub-Saharan Africa,Upper middle income,
Greece,GRC,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GRC,Europe & Central Asia,High income,0
Grenada,GRD,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GRD,Latin America & Caribbean,Upper middle income,
Greenland,GRL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GRL,Europe & Central Asia,High income,
Guatemala,GTM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GTM,Latin America & Caribbean,Upper middle income,0
Guam,GUM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GUM,East Asia & Pacific,High income,
Guyana,GUY,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,GUY,Latin America & Caribbean,Upper middle income,
"Hong Kong SAR, China",HKG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,HKG,East Asia & Pacific,High income,0
Honduras,HND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,HND,Latin America & Caribbean,Lower middle income,0
Croatia,HRV,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,HRV,Europe & Central Asia,High income,0
Haiti,HTI,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,HTI,Latin America & Caribbean,Lower middle income,0
Hungary,HUN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,HUN,Europe & Central Asia,High income,40.2943934528715
Indonesia,IDN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,IDN,East Asia & Pacific,Lower middle income,0
Isle of Man,IMN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,IMN,Europe & Central Asia,High income,
India,IND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,IND,South Asia,Lower middle income,2.96688713822303
Ireland,IRL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,IRL,Europe & Central Asia,High income,0
"Iran, Islamic Rep.",IRN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,IRN,Middle East & North Africa,Lower middle income,0
Iraq,IRQ,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,IRQ,Middle East & North Africa,Upper middle income,0
Iceland,ISL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ISL,Europe & Central Asia,High income,0
Israel,ISR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ISR,Middle East & North Africa,High income,0
Italy,ITA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ITA,Europe & Central Asia,High income,0
Jamaica,JAM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,JAM,Latin America & Caribbean,Upper middle income,0
Jordan,JOR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,JOR,Middle East & North Africa,Upper middle income,0
Japan,JPN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,JPN,East Asia & Pacific,High income,29.5975891744448
Kazakhstan,KAZ,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,KAZ,Europe & Central Asia,Upper middle income,0
Kenya,KEN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,KEN,Sub-Saharan Africa,Lower middle income,0
Kyrgyz Republic,KGZ,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,KGZ,Europe & Central Asia,Lower middle income,0
Cambodia,KHM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,KHM,East Asia & Pacific,Lower middle income,0
Kiribati,KIR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,KIR,East Asia & Pacific,Lower middle income,
St. Kitts and Nevis,KNA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,KNA,Latin America & Caribbean,High income,
"Korea, Rep.",KOR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,KOR,East Asia & Pacific,High income,37.7657472810076
Kuwait,KWT,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,KWT,Middle East & North Africa,High income,0
Lao PDR,LAO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,LAO,East Asia & Pacific,Lower middle income,
Lebanon,LBN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,LBN,Middle East & North Africa,Lower middle income,0
Liberia,LBR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,LBR,Sub-Saharan Africa,Low income,
Libya,LBY,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,LBY,Middle East & North Africa,Upper middle income,0
St. Lucia,LCA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,LCA,Latin America & Caribbean,Upper middle income,
Liechtenstein,LIE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,LIE,Europe & Central Asia,High income,
Sri Lanka,LKA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,LKA,South Asia,Lower middle income,0
Lesotho,LSO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,LSO,Sub-Saharan Africa,Lower middle income,
Lithuania,LTU,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,LTU,Europe & Central Asia,High income,75.7036237748404
Luxembourg,LUX,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,LUX,Europe & Central Asia,High income,0
Latvia,LVA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,LVA,Europe & Central Asia,High income,0
"Macao SAR, China",MAC,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MAC,East Asia & Pacific,High income,
St. Martin (French part),MAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MAF,Latin America & Caribbean,High income,
Morocco,MAR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MAR,Middle East & North Africa,Lower middle income,0
Monaco,MCO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MCO,Europe & Central Asia,High income,
Moldova,MDA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MDA,Europe & Central Asia,Upper middle income,0
Madagascar,MDG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MDG,Sub-Saharan Africa,Low income,
Maldives,MDV,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MDV,South Asia,Upper middle income,
Mexico,MEX,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MEX,Latin America & Caribbean,Upper middle income,3.99708277622463
Marshall Islands,MHL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MHL,East Asia & Pacific,Upper middle income,
North Macedonia,MKD,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MKD,Europe & Central Asia,Upper middle income,0
Mali,MLI,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MLI,Sub-Saharan Africa,Low income,
Malta,MLT,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MLT,Middle East & North Africa,High income,0
Myanmar,MMR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MMR,East Asia & Pacific,Lower middle income,0
Montenegro,MNE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MNE,Europe & Central Asia,Upper middle income,
Mongolia,MNG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MNG,East Asia & Pacific,Lower middle income,0
Northern Mariana Islands,MNP,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MNP,East Asia & Pacific,High income,
Mozambique,MOZ,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MOZ,Sub-Saharan Africa,Low income,0
Mauritania,MRT,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MRT,Sub-Saharan Africa,Lower middle income,
Mauritius,MUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MUS,Sub-Saharan Africa,Upper middle income,0
Malawi,MWI,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MWI,Sub-Saharan Africa,Low income,
Malaysia,MYS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,MYS,East Asia & Pacific,Upper middle income,0
Namibia,NAM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,NAM,Sub-Saharan Africa,Upper middle income,0
New Caledonia,NCL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,NCL,East Asia & Pacific,High income,
Niger,NER,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,NER,Sub-Saharan Africa,Low income,0
Nigeria,NGA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,NGA,Sub-Saharan Africa,Lower middle income,0
Nicaragua,NIC,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,NIC,Latin America & Caribbean,Lower middle income,0
Netherlands,NLD,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,NLD,Europe & Central Asia,High income,4.38018096417534
Norway,NOR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,NOR,Europe & Central Asia,High income,0
Nepal,NPL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,NPL,South Asia,Lower middle income,0
Nauru,NRU,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,NRU,East Asia & Pacific,High income,
New Zealand,NZL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,NZL,East Asia & Pacific,High income,0
Oman,OMN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,OMN,Middle East & North Africa,High income,0
Pakistan,PAK,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PAK,South Asia,Lower middle income,2.93176346232897
Panama,PAN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PAN,Latin America & Caribbean,High income,0
Peru,PER,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PER,Latin America & Caribbean,Upper middle income,0
Philippines,PHL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PHL,East Asia & Pacific,Lower middle income,0
Palau,PLW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PLW,East Asia & Pacific,Upper middle income,
Papua New Guinea,PNG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PNG,East Asia & Pacific,Lower middle income,
Poland,POL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,POL,Europe & Central Asia,High income,0
Puerto Rico,PRI,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PRI,Latin America & Caribbean,High income,
"Korea, Dem. People's Rep.",PRK,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PRK,East Asia & Pacific,Low income,0
Portugal,PRT,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PRT,Europe & Central Asia,High income,0
Paraguay,PRY,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PRY,Latin America & Caribbean,Upper middle income,0
West Bank and Gaza,PSE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PSE,Middle East & North Africa,Lower middle income,
French Polynesia,PYF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,PYF,East Asia & Pacific,High income,
Qatar,QAT,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,QAT,Middle East & North Africa,High income,0
Romania,ROU,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ROU,Europe & Central Asia,High income,10.5056417761004
Russian Federation,RUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,RUS,Europe & Central Asia,Upper middle income,14.9138359871667
Rwanda,RWA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,RWA,Sub-Saharan Africa,Low income,
Saudi Arabia,SAU,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SAU,Middle East & North Africa,High income,0
Sudan,SDN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SDN,Sub-Saharan Africa,Low income,0
Senegal,SEN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SEN,Sub-Saharan Africa,Lower middle income,0
Singapore,SGP,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SGP,East Asia & Pacific,High income,0
Solomon Islands,SLB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SLB,East Asia & Pacific,Lower middle income,
Sierra Leone,SLE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SLE,Sub-Saharan Africa,Low income,
El Salvador,SLV,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SLV,Latin America & Caribbean,Lower middle income,0
San Marino,SMR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SMR,Europe & Central Asia,High income,
Somalia,SOM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SOM,Sub-Saharan Africa,Low income,
Serbia,SRB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SRB,Europe & Central Asia,Upper middle income,0
South Sudan,SSD,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SSD,Sub-Saharan Africa,Low income,
Sao Tome and Principe,STP,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,STP,Sub-Saharan Africa,Lower middle income,
Suriname,SUR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SUR,Latin America & Caribbean,Upper middle income,0
Slovak Republic,SVK,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SVK,Europe & Central Asia,High income,53.555425676992
Slovenia,SVN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SVN,Europe & Central Asia,High income,34.9456840869055
Sweden,SWE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SWE,Europe & Central Asia,High income,39.4654033918378
Eswatini,SWZ,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SWZ,Sub-Saharan Africa,Lower middle income,
Sint Maarten (Dutch part),SXM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SXM,Latin America & Caribbean,High income,
Seychelles,SYC,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SYC,Sub-Saharan Africa,High income,
Syrian Arab Republic,SYR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,SYR,Middle East & North Africa,Low income,0
Turks and Caicos Islands,TCA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,TCA,Latin America & Caribbean,High income,
Chad,TCD,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,TCD,Sub-Saharan Africa,Low income,
Togo,TGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,TGO,Sub-Saharan Africa,Low income,0
Thailand,THA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,THA,East Asia & Pacific,Upper middle income,0
Tajikistan,TJK,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,TJK,Europe & Central Asia,Lower middle income,0
Turkmenistan,TKM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,TKM,Europe & Central Asia,Upper middle income,0
Timor-Leste,TLS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,TLS,East Asia & Pacific,Lower middle income,
Tonga,TON,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,TON,East Asia & Pacific,Upper middle income,
Trinidad and Tobago,TTO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,TTO,Latin America & Caribbean,High income,0
Tunisia,TUN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,TUN,Middle East & North Africa,Lower middle income,0
