Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ELECOIL
Belarus,BLR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BLR,Europe & Central Asia,Upper middle income,6.56679820696525
Belize,BLZ,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BLZ,Latin America & Caribbean,Upper middle income,
Bermuda,BMU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BMU,North America,High income,
Bolivia,BOL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BOL,Latin America & Caribbean,Lower middle income,0.77319587628866
Brazil,BRA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BRA,Latin America & Caribbean,Upper middle income,4.34753948009515
Barbados,BRB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BRB,Latin America & Caribbean,High income,
Brunei Darussalam,BRN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BRN,East Asia & Pacific,High income,0.904443570585922
Bhutan,BTN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BTN,South Asia,Lower middle income,
Botswana,BWA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BWA,Sub-Saharan Africa,Upper middle income,2.36842105263158
Central African Republic,CAF,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CAF,Sub-Saharan Africa,Low income,
Canada,CAN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CAN,North America,High income,1.82976769991876
Switzerland,CHE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CHE,Europe & Central Asia,High income,0.343294416550723
Channel Islands,CHI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CHI,Europe & Central Asia,High income,
Chile,CHL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CHL,Latin America & Caribbean,High income,4.25420430161186
China,CHN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CHN,East Asia & Pacific,Upper middle income,3.48651435601864
Cote d'Ivoire,CIV,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CIV,Sub-Saharan Africa,Lower middle income,0.270833333333333
Cameroon,CMR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CMR,Sub-Saharan Africa,Lower middle income,1.09195402298851
"Congo, Dem. Rep.",COD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,COD,Sub-Saharan Africa,Low income,0.0501504513540622
"Congo, Rep.",COG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,COG,Sub-Saharan Africa,Lower middle income,0.337837837837838
Colombia,COL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,COL,Latin America & Caribbean,Upper middle income,0.234202898550725
Comoros,COM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,COM,Sub-Saharan Africa,Lower middle income,
Cabo Verde,CPV,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CPV,Sub-Saharan Africa,Lower middle income,
Costa Rica,CRI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CRI,Latin America & Caribbean,Upper middle income,0.852724382136147
Cuba,CUB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CUB,Latin America & Caribbean,Upper middle income,57.064928153273
Curacao,CUW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CUW,Latin America & Caribbean,High income,
Cayman Islands,CYM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CYM,Latin America & Caribbean,High income,
Cyprus,CYP,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CYP,Europe & Central Asia,High income,100
Czech Republic,CZE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,CZE,Europe & Central Asia,High income,0.510211079261017
Germany,DEU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,DEU,Europe & Central Asia,High income,0.836080955700814
Djibouti,DJI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,DJI,Middle East & North Africa,Lower middle income,
Dominica,DMA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,DMA,Latin America & Caribbean,Upper middle income,
Denmark,DNK,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,DNK,Europe & Central Asia,High income,1.93603860982442
Dominican Republic,DOM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,DOM,Latin America & Caribbean,Upper middle income,90.8522163729305
Algeria,DZA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,DZA,Middle East & North Africa,Lower middle income,3.04186998268535
Ecuador,ECU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ECU,Latin America & Caribbean,Upper middle income,28.2981530343008
"Egypt, Arab Rep.",EGY,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,EGY,Middle East & North Africa,Lower middle income,28.5540611443123
Eritrea,ERI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ERI,Sub-Saharan Africa,Low income,99.5238095238095
Spain,ESP,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ESP,Europe & Central Asia,High income,10.2199428755075
Estonia,EST,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,EST,Europe & Central Asia,High income,0.657817455656055
Ethiopia,ETH,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ETH,Sub-Saharan Africa,Low income,1.37395459976105
Finland,FIN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,FIN,Europe & Central Asia,High income,0.838859037384246
Fiji,FJI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,FJI,East Asia & Pacific,Upper middle income,
France,FRA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,FRA,Europe & Central Asia,High income,1.33879189213429
Faroe Islands,FRO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,FRO,Europe & Central Asia,High income,
"Micronesia, Fed. Sts.",FSM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,FSM,East Asia & Pacific,Lower middle income,
Gabon,GAB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GAB,Sub-Saharan Africa,Upper middle income,20.532319391635
United Kingdom,GBR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GBR,Europe & Central Asia,High income,2.25602671118531
Georgia,GEO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GEO,Europe & Central Asia,Upper middle income,3.69073275862069
Ghana,GHA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GHA,Sub-Saharan Africa,Lower middle income,0
Gibraltar,GIB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GIB,Europe & Central Asia,High income,100
Guinea,GIN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GIN,Sub-Saharan Africa,Low income,
"Gambia, The",GMB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GMB,Sub-Saharan Africa,Low income,
Guinea-Bissau,GNB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GNB,Sub-Saharan Africa,Low income,
Equatorial Guinea,GNQ,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GNQ,Sub-Saharan Africa,Upper middle income,
Greece,GRC,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GRC,Europe & Central Asia,High income,16.6307908282639
Grenada,GRD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GRD,Latin America & Caribbean,Upper middle income,
Greenland,GRL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GRL,Europe & Central Asia,High income,
Guatemala,GTM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GTM,Latin America & Caribbean,Upper middle income,39.3683862433862
Guam,GUM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GUM,East Asia & Pacific,High income,
Guyana,GUY,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,GUY,Latin America & Caribbean,Upper middle income,
"Hong Kong SAR, China",HKG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,HKG,East Asia & Pacific,High income,0.488334237655996
Honduras,HND,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,HND,Latin America & Caribbean,Lower middle income,38.0887185104053
Croatia,HRV,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,HRV,Europe & Central Asia,High income,14.9782473586078
Haiti,HTI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,HTI,Latin America & Caribbean,Lower middle income,48.2632541133455
Hungary,HUN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,HUN,Europe & Central Asia,High income,12.5145633826831
Indonesia,IDN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,IDN,East Asia & Pacific,Lower middle income,19.6538976694348
Isle of Man,IMN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,IMN,Europe & Central Asia,High income,
India,IND,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,IND,South Asia,Lower middle income,5.11911783291907
Ireland,IRL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,IRL,Europe & Central Asia,High income,19.5919401850209
"Iran, Islamic Rep.",IRN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,IRN,Middle East & North Africa,Lower middle income,20.8949567022881
Iraq,IRQ,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,IRQ,Middle East & North Africa,Upper middle income,79.3228840125392
Iceland,ISL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ISL,Europe & Central Asia,High income,0.0650702758979698
Israel,ISR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ISR,Middle East & North Africa,High income,31.0939734183446
Italy,ITA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ITA,Europe & Central Asia,High income,31.8136185314569
Jamaica,JAM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,JAM,Latin America & Caribbean,Upper middle income,95.1559188616409
Jordan,JOR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,JOR,Middle East & North Africa,Upper middle income,89.3694915254237
Japan,JPN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,JPN,East Asia & Pacific,High income,13.2275579638486
Kazakhstan,KAZ,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,KAZ,Europe & Central Asia,Upper middle income,5.14963759644611
Kenya,KEN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,KEN,Sub-Saharan Africa,Lower middle income,53.0204692960559
Kyrgyz Republic,KGZ,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,KGZ,Europe & Central Asia,Lower middle income,0
Cambodia,KHM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,KHM,East Asia & Pacific,Lower middle income,99.7767857142857
Kiribati,KIR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,KIR,East Asia & Pacific,Lower middle income,
St. Kitts and Nevis,KNA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,KNA,Latin America & Caribbean,High income,
"Korea, Rep.",KOR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,KOR,East Asia & Pacific,High income,11.9854016622419
Kuwait,KWT,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,KWT,Middle East & North Africa,High income,67.0606069981128
Lao PDR,LAO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,LAO,East Asia & Pacific,Lower middle income,
Lebanon,LBN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,LBN,Middle East & North Africa,Lower middle income,95.359173126615
Liberia,LBR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,LBR,Sub-Saharan Africa,Low income,
Libya,LBY,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,LBY,Middle East & North Africa,Upper middle income,78.0588538977801
St. Lucia,LCA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,LCA,Latin America & Caribbean,Upper middle income,
Liechtenstein,LIE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,LIE,Europe & Central Asia,High income,
Sri Lanka,LKA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,LKA,South Asia,Lower middle income,54.1976013706453
Lesotho,LSO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,LSO,Sub-Saharan Africa,Lower middle income,
Lithuania,LTU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,LTU,Europe & Central Asia,High income,5.57503821598777
Luxembourg,LUX,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,LUX,Europe & Central Asia,High income,0
Latvia,LVA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,LVA,Europe & Central Asia,High income,2.58704061895551
"Macao SAR, China",MAC,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MAC,East Asia & Pacific,High income,
St. Martin (French part),MAF,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MAF,Latin America & Caribbean,High income,
Morocco,MAR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MAR,Middle East & North Africa,Lower middle income,25.6394309259115
Monaco,MCO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MCO,Europe & Central Asia,High income,
Moldova,MDA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MDA,Europe & Central Asia,Upper middle income,0.570816981805209
Madagascar,MDG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MDG,Sub-Saharan Africa,Low income,
Maldives,MDV,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MDV,South Asia,Upper middle income,
Mexico,MEX,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MEX,Latin America & Caribbean,Upper middle income,45.5082046918682
Marshall Islands,MHL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MHL,East Asia & Pacific,Upper middle income,
North Macedonia,MKD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MKD,Europe & Central Asia,Upper middle income,6.32799882542945
Mali,MLI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MLI,Sub-Saharan Africa,Low income,
Malta,MLT,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MLT,Middle East & North Africa,High income,100
Myanmar,MMR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MMR,East Asia & Pacific,Lower middle income,13.5013677217663
Montenegro,MNE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MNE,Europe & Central Asia,Upper middle income,
Mongolia,MNG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MNG,East Asia & Pacific,Lower middle income,2.98710115410726
Northern Mariana Islands,MNP,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MNP,East Asia & Pacific,High income,
Mozambique,MOZ,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MOZ,Sub-Saharan Africa,Low income,0.433168316831683
Mauritania,MRT,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MRT,Sub-Saharan Africa,Lower middle income,
Mauritius,MUS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MUS,Sub-Saharan Africa,Upper middle income,49.9437570303712
Malawi,MWI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MWI,Sub-Saharan Africa,Low income,
Malaysia,MYS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,MYS,East Asia & Pacific,Upper middle income,5.19818063677713
Namibia,NAM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,NAM,Sub-Saharan Africa,Upper middle income,0
New Caledonia,NCL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,NCL,East Asia & Pacific,High income,
Niger,NER,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,NER,Sub-Saharan Africa,Low income,34.4660194174757
Nigeria,NGA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,NGA,Sub-Saharan Africa,Lower middle income,0
Nicaragua,NIC,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,NIC,Latin America & Caribbean,Lower middle income,78.6048490004253
Netherlands,NLD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,NLD,Europe & Central Asia,High income,2.94652519775524
Norway,NOR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,NOR,Europe & Central Asia,High income,0.00631530197668952
Nepal,NPL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,NPL,South Asia,Lower middle income,1.62748643761302
Nauru,NRU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,NRU,East Asia & Pacific,High income,
New Zealand,NZL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,NZL,East Asia & Pacific,High income,0
Oman,OMN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,OMN,Middle East & North Africa,High income,17.1660630007683
Pakistan,PAK,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PAK,South Asia,Lower middle income,39.4973280873804
Panama,PAN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PAN,Latin America & Caribbean,High income,29.5682422754246
Peru,PER,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PER,Latin America & Caribbean,Upper middle income,12.3129456663654
Philippines,PHL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PHL,East Asia & Pacific,Lower middle income,20.2804151026717
Palau,PLW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PLW,East Asia & Pacific,Upper middle income,
Papua New Guinea,PNG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PNG,East Asia & Pacific,Lower middle income,
Poland,POL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,POL,Europe & Central Asia,High income,1.33823180186347
Puerto Rico,PRI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PRI,Latin America & Caribbean,High income,
"Korea, Dem. People's Rep.",PRK,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PRK,East Asia & Pacific,Low income,4.10824742268041
Portugal,PRT,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PRT,Europe & Central Asia,High income,19.4157520981278
Paraguay,PRY,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PRY,Latin America & Caribbean,Upper middle income,0
West Bank and Gaza,PSE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PSE,Middle East & North Africa,Lower middle income,
French Polynesia,PYF,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,PYF,East Asia & Pacific,High income,
Qatar,QAT,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,QAT,Middle East & North Africa,High income,0
Romania,ROU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ROU,Europe & Central Asia,High income,6.54484538067547
Russian Federation,RUS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,RUS,Europe & Central Asia,Upper middle income,3.7635144694387
Rwanda,RWA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,RWA,Sub-Saharan Africa,Low income,
Saudi Arabia,SAU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SAU,Middle East & North Africa,High income,27.683432257451
Sudan,SDN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SDN,Sub-Saharan Africa,Low income,53.9509536784741
Senegal,SEN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SEN,Sub-Saharan Africa,Lower middle income,89.8379052369077
Singapore,SGP,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SGP,East Asia & Pacific,High income,79.9526290857413
Solomon Islands,SLB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SLB,East Asia & Pacific,Lower middle income,
Sierra Leone,SLE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SLE,Sub-Saharan Africa,Low income,
El Salvador,SLV,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SLV,Latin America & Caribbean,Lower middle income,41.9307077287533
San Marino,SMR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SMR,Europe & Central Asia,High income,
Somalia,SOM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SOM,Sub-Saharan Africa,Low income,
Serbia,SRB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SRB,Europe & Central Asia,Upper middle income,0.922671353251318
South Sudan,SSD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SSD,Sub-Saharan Africa,Low income,
Sao Tome and Principe,STP,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,STP,Sub-Saharan Africa,Lower middle income,
Suriname,SUR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SUR,Latin America & Caribbean,Upper middle income,11.6040955631399
Slovak Republic,SVK,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SVK,Europe & Central Asia,High income,0.65588674589259
Slovenia,SVN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SVN,Europe & Central Asia,High income,0.403699354081033
Sweden,SWE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SWE,Europe & Central Asia,High income,1.05555976341139
Eswatini,SWZ,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SWZ,Sub-Saharan Africa,Lower middle income,
Sint Maarten (Dutch part),SXM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SXM,Latin America & Caribbean,High income,
Seychelles,SYC,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SYC,Sub-Saharan Africa,High income,
Syrian Arab Republic,SYR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,SYR,Middle East & North Africa,Low income,50.0852599436888
Turks and Caicos Islands,TCA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,TCA,Latin America & Caribbean,High income,
Chad,TCD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,TCD,Sub-Saharan Africa,Low income,
Togo,TGO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,TGO,Sub-Saharan Africa,Low income,42.8571428571429
Thailand,THA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,THA,East Asia & Pacific,Upper middle income,10.4483365806391
Tajikistan,TJK,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,TJK,Europe & Central Asia,Lower middle income,0
Turkmenistan,TKM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,TKM,Europe & Central Asia,Upper middle income,0
Timor-Leste,TLS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,TLS,East Asia & Pacific,Lower middle income,
Tonga,TON,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,TON,East Asia & Pacific,Upper middle income,
Trinidad and Tobago,TTO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,TTO,Latin America & Caribbean,High income,0.0549551199853453
Tunisia,TUN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,TUN,Middle East & North Africa,Lower middle income,11.5987164967912
Turkiye,TUR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,TUR,Europe & Central Asia,Upper middle income,7.45345095339492
Tuvalu,TUV,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,TUV,East Asia & Pacific,Upper middle income,
